condition, RT, error
3,639,0
3,615,0
1,503,1
1,524,0
4,659,0
4,607,0
1,520,0
2,595,0
3,591,0
3,482,0
2,562,0
2,570,0
3,576,0
2,485,0
4,599,0
3,528,0
3,725,0
1,459,0
2,476,0
3,498,0
1,503,0
3,686,0
1,485,0
3,666,0
1,516,0
4,582,0
1,447,0
4,561,0
3,615,0
4,618,0
3,416,0
1,502,0
3,640,0
2,415,1
2,525,0
3,625,0
1,461,0
3,556,0
1,469,0
4,599,1
1,461,0
4,610,0
3,575,0
1,463,0
4,614,0
2,581,0
2,652,0
2,576,0
2,610,0
3,555,1
4,640,0
2,433,0
1,505,0
1,456,0
3,610,0
2,478,0
3,470,0
2,578,0
2,474,1
3,509,0
4,608,0
2,477,1
3,609,1
3,475,0
1,442,0
4,607,0
2,541,0
2,640,0
3,502,0
1,425,0
2,601,0
2,430,0
1,522,1
2,425,0
4,645,0
3,624,0
1,415,1
2,484,0
2,543,0
4,577,0
3,685,0
1,523,0
4,588,0
1,484,0
4,629,1
1,532,0
1,511,0
3,490,0
4,575,0
2,461,0
1,501,0
1,469,1
1,501,0
4,633,0
2,586,0
2,497,0
2,472,1
1,511,0
1,502,0
3,714,0
4,634,0
3,530,0
3,592,0
2,476,0
4,584,0
4,701,0
3,627,0
2,646,0
4,603,0
4,650,0
2,416,0
3,670,0
4,625,0
2,462,1
3,658,0
2,544,0
1,534,0
4,563,0
4,592,0
1,499,0
3,564,0
2,409,0
3,553,0
4,601,0
4,630,0
4,581,0
1,486,0
4,619,0
4,645,0
2,561,0
2,478,0
4,594,0
2,384,0
4,706,0
3,703,1
4,597,0
2,542,0
3,605,0
1,480,0
4,597,0
2,606,0
4,643,0
3,644,0
1,502,0
2,541,0
4,576,0
4,645,0
2,476,0
4,584,1
4,594,0
2,554,0
1,541,0
3,583,0
4,592,0
2,456,0
1,462,0
4,677,0
4,668,0
4,639,0
2,560,0
4,585,0
2,490,0
4,570,0
4,599,0
2,405,0
3,615,0
3,591,0
2,506,0
2,497,0
3,549,0
2,494,0
2,459,0
3,635,0
4,659,0
3,675,0
4,647,0
2,525,1
4,703,0
1,497,0
2,494,0
2,613,0
1,514,0
4,588,0
2,410,0
4,605,0
4,696,0
2,466,0
1,527,1
3,466,0
2,460,0
3,613,0
1,468,0
3,601,1
4,614,1
2,330,0
4,631,0
2,484,1
4,692,1
1,506,0
1,496,0
1,434,0
1,503,0
3,661,0
1,505,0
1,469,0
1,534,1
2,550,0
1,487,1
2,690,1
3,540,0
1,504,0
4,592,0
2,443,0
1,482,0
1,523,0
2,515,0
3,695,0
4,600,1
2,648,0
3,575,0
2,511,0
3,595,1
2,464,0
4,644,0
4,595,1
2,454,0
3,625,0
2,643,0
4,624,0
2,485,0
3,530,0
1,497,0
2,583,0
2,467,0
4,570,0
1,496,0
1,515,0
1,543,0
1,451,0
3,672,0
2,525,0
2,469,1
3,617,0
1,488,0
1,460,0
4,697,1
4,591,1
4,621,0
1,509,0
4,597,0
4,592,0
2,490,0
4,597,0
1,518,0
2,558,0
4,634,0
1,515,0
1,451,0
4,647,0
3,676,0
1,450,0
2,490,0
2,548,0
1,463,0
3,465,0
3,549,0
3,443,1
2,529,1
2,447,0
1,473,0
2,527,0
1,489,0
4,581,0
4,638,0
4,660,0
3,597,1
3,551,0
1,497,0
2,582,1
4,633,0
3,621,0
4,654,0
4,623,0
2,463,0
3,642,0
2,401,0
4,584,0
3,589,0
4,594,0
1,485,0
3,513,0
1,427,0
2,497,0
3,514,0
3,571,0
2,436,0
1,469,0
1,422,0
3,669,0
4,660,0
1,463,0
2,616,1
4,666,0
2,580,0
4,642,0
1,492,1
1,464,0
4,588,0
1,469,0
4,590,0
3,604,0
4,592,0
1,527,0
2,517,0
2,540,0
3,709,0
2,553,0
3,682,0
2,466,0
2,645,0
2,462,0
2,516,0
1,518,0
1,506,1
1,490,1
4,606,0
3,592,0
3,640,0
1,463,1
2,680,0
3,687,0
1,497,0
4,605,0
1,505,0
4,582,1
2,497,0
2,519,0
1,480,1
4,603,1
3,643,0
3,596,0
1,460,1
4,585,0
4,727,0
2,532,0
2,551,0
1,529,0
2,506,1
1,535,0
4,596,0
4,591,0
4,667,0
4,636,0
2,425,0
2,591,0
2,558,0
2,490,0
3,602,0
3,680,0
4,735,0
1,450,0
2,596,0
4,572,0
3,542,0
2,601,0
2,457,0
2,501,0
4,610,1
2,617,0
3,641,0
3,514,1
4,569,0
2,539,0
3,592,0
4,671,1
3,668,1
3,562,0
3,607,0
1,491,0
3,623,0
1,502,0
3,650,0
2,562,0
4,596,1
4,591,0
2,613,0
1,390,1
1,520,0
1,526,0
3,685,0
4,621,0
1,532,0
3,661,0
4,623,0
3,602,0
2,572,0
3,573,0
1,423,0
4,641,0
2,621,0
3,420,1
2,466,0
2,495,0
3,548,0
3,549,1
2,434,1
2,587,0
3,736,0
2,500,0
1,421,0
1,515,0
1,486,0
4,599,0
2,494,0
2,500,0
1,525,0
1,377,0
1,538,0
2,492,0
1,435,0
1,398,0
4,583,0
2,588,0
4,595,0
4,574,0
2,497,0
1,524,0
1,415,0
3,584,0
1,494,0
1,511,0
2,493,0
3,637,0
3,498,0
4,599,0
2,478,0
1,509,0
3,671,0
1,485,0
2,566,0
1,466,0
1,505,0
4,705,0
1,464,0
3,419,0
4,590,0
3,651,0
4,717,0
3,451,1
4,685,0
1,513,1
3,701,0
4,586,0
1,506,0
1,444,0
4,697,0
4,671,0
4,589,0
4,598,0
2,483,0
3,632,0
2,460,0
4,655,0
2,497,0
2,558,0
3,569,0
1,505,0
2,530,0
4,640,1
2,423,0
1,435,0
1,518,0
4,584,1
1,519,0
1,531,0
1,484,0
1,502,1
3,492,0
3,658,0
4,578,0
1,550,0
4,572,0
4,622,0
4,570,1
4,639,0
2,471,0
3,652,0
2,513,0
3,618,0
1,524,0
3,649,0
3,596,0
4,592,0
1,459,0
3,539,0
2,535,0
1,431,0
2,662,0
2,448,1
3,615,0
4,631,0
4,594,0
4,635,0
2,517,0
4,581,0
1,514,1
4,574,0
3,613,0
1,488,0
3,538,0
1,490,0
4,630,0
3,628,0
1,520,0
2,768,0
3,632,0
3,511,0
2,415,1
1,503,0
1,526,0
1,458,0
3,562,0
1,511,0
1,501,0
4,622,0
3,620,0
1,545,0
4,640,0
1,502,0
3,489,0
2,468,0
3,589,0
4,655,0
3,596,0
4,658,1
1,454,0
4,626,0
4,599,0
2,488,0
1,442,0
1,484,0
1,494,0
1,503,0
2,470,1
4,637,0
3,664,0
3,679,0
3,647,0
2,490,0
4,577,0
2,486,0
2,408,0
3,567,0
3,647,0
2,494,0
1,443,0
2,556,0
1,502,0
1,490,0
3,605,1
2,446,0
4,582,0
3,571,0
2,517,0
1,515,0
2,499,0
2,437,0
1,534,0
1,488,0
4,546,1
4,696,1
2,517,1
3,565,0
3,541,0
1,517,0
1,479,0
1,501,0
3,597,0
2,485,0
3,450,0
2,490,0
1,515,0
4,595,0
1,516,0
1,502,0
4,620,0
3,563,0
2,590,0
2,530,0
1,477,0
1,475,0
3,607,0
4,703,0
2,489,0
3,668,1
2,477,0
4,592,0
1,508,0
2,641,0
1,534,1
3,616,0
4,588,0
4,611,0
1,443,0
2,464,1
1,481,1
4,586,1
2,587,0
1,451,0
1,513,0
1,521,0
1,493,0
2,525,0
2,453,1
2,493,0
3,638,0
4,695,0
3,629,0
1,447,1
2,632,0
1,512,0
3,568,0
3,643,0
4,606,0
1,506,0
2,445,0
1,401,1
1,513,0
4,599,0
3,659,0
2,530,0
2,526,0
1,521,0
3,626,0
4,593,0
4,596,0
2,606,0
3,631,0
3,627,0
4,653,0
4,618,0
4,689,1
3,615,0
2,516,0
3,630,0
4,605,0
4,577,0
1,508,0
3,564,0
1,507,0
4,581,0
4,586,0
2,544,0
3,632,0
4,583,0
3,559,0
3,545,0
4,623,0
1,468,0
1,432,0
4,622,0
3,649,0
4,586,0
2,541,0
4,579,0
3,544,0
4,602,1
4,597,0
3,615,0
4,627,0
2,444,0
3,487,0
1,435,0
2,498,0
2,498,0
1,506,0
2,627,0
2,434,0
3,644,0
4,663,0
4,589,0
1,534,0
1,478,0
3,596,1
2,466,0
4,567,0
4,637,0
3,719,0
2,479,0
4,603,0
3,632,0
2,611,0
3,620,0
1,486,0
3,617,0
4,568,0
3,677,0
2,562,0
3,616,0
3,609,0
3,541,1
2,583,0
1,520,0
3,632,0
4,593,0
4,620,0
4,592,0
3,503,0
4,616,1
1,420,0
4,601,0
1,446,0
4,681,0
1,481,0
2,447,0
3,530,0
3,585,0
1,523,0
2,550,0
4,586,0
4,641,0
1,509,0
2,488,0
2,601,0
3,693,0
3,609,1
4,624,0
2,449,0
2,620,0
2,484,0
1,414,0
4,567,0
2,482,0
3,657,0
4,677,0
1,523,0
4,560,0
3,501,1
3,579,0
3,550,0
4,652,0
2,571,0
4,677,1
3,591,0
2,460,1
4,590,0
1,489,0
4,616,0
1,485,0
2,566,0
2,444,0
1,490,1
3,616,0
2,605,0
2,418,1
2,411,0
3,474,0
2,477,0
1,445,0
4,612,0
2,469,0
2,497,1
2,456,0
4,679,0
4,588,0
1,501,0
1,512,0
2,454,0
1,530,0
4,614,0
4,598,0
2,504,0
3,677,0
1,463,0
1,519,0
1,525,0
3,675,0
4,585,0
2,513,0
3,649,0
1,503,0
2,559,0
3,622,0
4,624,0
3,623,1
4,637,0
2,499,0
4,595,0
3,687,0
4,560,0
4,609,0
3,564,0
2,387,0
1,516,0
4,591,0
3,650,0
3,498,0
3,663,0
4,556,0
3,705,0
1,513,0
4,597,0
3,659,1
2,526,0
2,534,0
3,549,0
2,482,0
1,468,0
4,588,0
1,473,0
1,518,1
2,467,0
3,569,0
2,558,0
1,506,0
3,624,0
4,655,0
2,684,0
4,605,0
2,562,0
1,418,0
2,456,0
1,511,0
4,605,0
1,506,0
1,532,1
4,630,0
2,577,1
4,604,1
2,549,1
1,400,0
4,653,1
1,349,0
1,528,0
4,706,1
4,622,0
1,450,0
4,582,0
1,453,0
3,534,0
2,460,0
3,515,0
3,675,0
2,454,1
1,471,0
4,587,0
4,587,1
3,645,0
3,545,0
3,494,0
1,525,0
2,434,0
2,397,0
3,598,0
1,485,0
4,579,0
2,406,0
1,519,0
3,616,0
3,425,0
3,680,0
4,586,0
2,400,0
1,477,0
3,507,0
1,479,0
3,607,0
3,636,0
2,514,0
3,631,0
3,558,0
3,647,0
2,482,0
4,596,0
2,479,0
3,534,1
2,397,0
2,429,0
1,517,0
2,606,0
4,562,0
2,510,0
4,572,0
4,586,1
4,610,0
4,586,0
1,426,0
3,606,0
3,659,0
1,433,0
1,516,0
2,494,0
2,426,0
4,605,0
1,509,0
2,468,0
3,594,0
1,423,0
4,598,0
3,465,0
3,633,0
2,575,0
3,489,0
3,457,0
2,514,0
2,467,0
1,420,0
4,570,0
4,592,0
3,482,0
1,522,0
1,460,0
3,614,0
2,445,0
2,572,1
4,680,0
4,629,0
3,612,0
4,576,0
4,619,1
2,586,0
2,503,0
3,612,0
1,519,0
1,490,0
3,626,0
4,593,0
3,593,0
1,416,0
1,447,0
4,565,0
2,467,0
4,670,1
4,705,0
4,698,0
1,461,0
2,443,0
2,543,0
1,391,0
2,440,0
4,601,0
2,510,0
1,524,0
2,438,0
2,558,0
3,620,0
2,415,0
4,593,0
2,594,0
3,568,0
3,635,0
2,486,0
1,502,0
3,397,1
3,614,0
2,478,0
3,551,1
1,502,0
1,443,0
2,548,0
1,508,0
4,589,0
1,434,1
3,618,0
1,511,0
4,619,0
1,509,0
4,603,0
2,573,0
4,733,0
4,598,0
3,587,0
4,575,1
4,588,1
3,647,0
2,507,0
3,587,1
2,396,0
4,686,0
3,581,0
2,454,0
3,616,0
1,426,0
2,519,0
4,545,0
1,462,0
1,398,0
4,587,0
2,473,0
4,632,0
1,454,1
3,659,1
4,597,0
4,568,1
2,425,0
4,625,0
3,524,0
1,499,0
4,606,1
1,492,0
1,524,1
2,584,0
3,565,0
3,628,0
3,589,1
1,424,0
4,627,0
1,466,0
3,617,0
4,608,0
4,574,0
1,510,0
2,485,0
2,460,0
4,665,0
2,498,0
1,502,1
3,539,0
2,588,0
2,460,0
1,519,0
4,667,0
4,603,0
2,682,0
4,605,0
3,471,0
3,628,0
1,506,0
2,499,0
3,657,0
3,671,0
2,495,0
4,699,0
2,562,0
3,622,0
4,618,0
2,589,0
1,482,0
2,457,0
4,602,0
3,588,0
2,581,0
3,502,1
3,479,0
4,598,1
4,585,0
2,625,0
1,490,1
3,627,0
1,506,1
3,666,0
1,549,0
2,481,0
4,683,0
1,511,1
1,501,0
4,623,0
1,487,0
1,432,0
2,645,0
2,571,0
3,585,0
4,636,1
1,339,0
1,517,1
2,566,0
3,504,1
3,492,0
4,575,0
3,633,1
3,729,0
1,426,0
4,683,0
4,575,0
3,574,0
1,478,0
1,506,1
1,506,0
4,578,0
4,622,0
3,614,0
4,580,0
2,439,0
2,509,0
2,496,1
4,578,0
4,594,0
1,507,0
2,464,0
3,624,0
1,515,1
3,630,0
3,502,0
2,499,0
3,682,0
2,489,0
2,516,0
4,628,0
4,606,0
3,606,1
2,481,0
2,465,0
1,540,0
1,516,0
2,505,0
4,659,0
1,506,0
3,527,0
3,707,0
2,579,0
3,559,0
4,592,0
2,425,0
3,601,0
3,597,0
2,477,0
2,464,0
3,625,0
2,550,0
3,541,0
3,625,0
2,463,0
1,444,0
2,513,1
2,476,0
3,530,0
1,508,1
4,596,0
3,499,0
4,640,0
2,467,0
3,616,0
2,542,0
4,578,0
3,584,0
4,674,0
3,365,0
2,444,0
2,462,0
4,627,1
2,476,0
1,509,0
4,594,0
1,509,0
3,588,0
2,639,0
1,490,0
1,515,0
1,445,0
2,583,0
3,653,0
4,619,0
4,625,1
3,545,1
3,508,0
4,650,0
3,560,0
3,495,0
2,462,0
3,484,0
1,525,0
4,596,1
3,594,0
3,669,0
1,502,1
2,569,0
4,577,0
2,527,0
3,605,0
3,636,0
2,467,0
1,539,0
2,481,0
2,410,0
4,631,0
2,401,0
2,632,0
4,613,1
1,488,0
4,651,0
4,592,0
3,528,0
3,619,0
4,583,0
3,604,0
2,466,0
2,497,0
1,519,0
2,457,0
3,571,1
4,597,0
3,496,0
3,602,0
4,698,0
3,526,0
1,473,0
1,500,0
3,571,0
4,582,0
3,440,0
1,490,0
2,437,1
3,648,0
4,636,0
4,615,1
3,622,0
1,472,0
3,515,0
3,568,0
1,523,0
3,675,0
4,575,0
1,468,0
4,598,0
3,561,0
4,595,0
4,569,0
4,606,0
1,525,0
3,577,0
3,537,0
4,594,0
3,605,0
3,630,0
4,617,0
3,704,0
4,593,1
4,586,0
2,545,0
4,591,0
2,464,0
1,501,0
4,587,0
3,555,0
2,469,0
2,466,0
3,548,0
3,619,0
4,591,0
2,483,0
2,551,0
4,569,0
2,575,0
3,573,0
3,560,0
2,592,0
1,533,0
4,666,0
2,496,0
2,447,0
1,503,0
1,482,0
4,643,0
1,504,0
2,469,0
2,488,0
3,599,0
3,683,0
2,430,0
4,634,0
1,460,0
3,502,0
2,500,0
3,456,0
4,601,0
1,497,0
4,624,0
2,482,1
3,603,0
3,444,0
4,612,0
2,477,1
3,592,1
4,568,0
1,497,0
1,506,0
3,604,0
3,457,0
2,543,0
3,684,0
1,466,1
4,585,0
3,507,0
4,562,0
4,589,0
2,581,0
2,509,0
1,539,0
1,488,0
2,505,0
3,481,0
3,633,0
1,447,0
2,410,0
4,640,0
2,532,0
3,535,0
1,501,0
4,599,0
2,387,0
1,554,1
4,594,0
1,481,0
2,631,0
2,500,0
2,472,1
1,477,0
1,504,0
4,664,0
2,434,1
2,426,0
1,479,0
1,481,0
3,491,0
1,476,0
2,478,0
2,484,0
4,582,0
3,572,1
1,422,0
4,595,0
4,608,0
1,475,0
4,654,1
2,400,0
2,540,1
2,520,0
1,510,0
2,519,0
3,530,0
2,584,1
1,436,0
2,447,0
4,632,0
2,469,1
3,675,1
1,531,0
3,528,0
4,592,1
1,504,0
3,537,0
4,595,0
1,525,0
4,580,0
3,603,0
2,589,0
2,551,0
2,580,0
2,522,1
3,612,0
2,470,0
3,614,0
4,632,0
3,662,0
1,512,0
3,605,0
2,469,0
3,557,0
4,592,0
2,450,0
4,627,0
1,517,0
3,606,0
2,413,0
1,493,0
4,601,0
3,583,0
2,502,0
3,667,0
2,480,0
3,634,0
4,594,0
2,601,0
1,499,0
4,631,0
1,514,0
3,622,1
2,472,0
2,607,0
3,633,0
1,509,0
3,628,0
3,632,0
2,470,0
1,449,0
1,530,0
1,489,0
3,657,0
3,622,0
2,585,0
1,524,0
1,527,0
2,496,0
4,634,0
2,496,0
2,430,0
3,596,0
3,627,0
1,510,0
4,585,0
4,591,0
2,443,0
4,590,0
3,482,0
2,542,0
1,524,0
2,465,0
3,653,1
3,581,0
2,582,0
2,578,0
2,426,0
3,542,1
3,602,0
1,536,0
4,569,0
3,593,0
4,648,1
4,665,0
3,529,0
1,513,0
4,644,0
1,529,0
3,669,0
1,488,0
1,503,0
1,521,0
1,509,0
4,601,0
2,521,1
4,608,0
4,584,0
2,579,0
4,658,0
2,387,0
2,549,0
4,574,0
4,636,0
4,663,0
3,714,0
4,653,0
1,444,0
4,602,1
3,419,0
4,632,0
3,675,0
2,447,0
3,638,0
2,494,0
3,648,0
4,600,1
3,659,0
3,440,0
3,648,0
1,511,0
4,596,0
3,507,0
4,608,0
1,464,0
2,732,0
1,479,1
1,508,1
3,542,0
1,471,0
3,549,0
2,479,1
3,622,0
2,494,0
2,437,0
1,446,1
3,552,0
2,638,0
3,620,0
3,640,0
